1.17333,0.26272,0.189172,1.07507,-0.631392,0.745723,0.0405016,0.327589,-0.422378,0.677385
1.34424,0.329446,0.238286,1.3814,-0.624462,0.842584,0.0425929,0.251157,-0.431096,0.610972
0.0653539,-0.10103,0.0140952,0.32976,-0.126671,0.0759204,0.0376785,-0.130646,0.0116808,0.0243251
1.38814,0.292085,0.341814,1.24265,-0.593824,0.816285,0.119783,0.372664,-0.440536,0.620326
0.735882,0.268529,0.461136,0.605432,-0.184127,0.485267,-0.444951,0.225248,-0.376159,0.584313
1.24937,0.174601,0.193381,0.588632,-0.218,0.555078,0.180046,0.0016931,-0.336305,0.555252
0.893295,0.231322,0.216764,0.818047,-0.457377,0.536814,0.0371652,0.211768,-0.227143,0.367875
0.792853,-0.00516135,0.179327,1.03208,-0.530824,0.422519,0.0210441,0.639638,-0.358922,0.387486
0.927792,0.241971,0.30031,0.952243,-0.457391,0.625806,0.0754484,0.267476,-0.309209,0.477971
1.30591,0.032241,0.587052,0.815563,-0.794023,0.550251,0.133972,0.435873,-0.315865,0.26404
1.31724,0.302187,0.298246,1.1899,-0.611695,0.769867,0.0817024,0.358312,-0.425743,0.61029
0.525345,-0.0621178,-0.169427,0.306037,-0.315553,0.276758,0.337224,-0.159407,-0.076966,0.194292
1.13725,0.130724,0.206261,0.948747,-0.384897,0.690729,0.158025,0.33979,-0.317758,0.522331
0.57653,0.112169,0.14516,0.572644,-0.249918,0.286633,-0.0179414,0.0634963,-0.158324,0.232656
0.899589,0.472736,-0.0129245,0.801805,-0.0696705,0.463457,0.444862,0.0882053,-0.179307,0.0749762
0.447618,0.265732,0.143821,0.840844,-0.514371,0.0273577,0.129998,0.0678033,-0.39805,0.194075
0.773805,0.177641,0.201404,0.747184,-0.520433,0.606524,-0.121231,0.0594999,-0.185374,0.331766
1.12607,0.28144,0.301638,1.16065,-0.617643,0.765333,0.0808657,0.151548,-0.372826,0.484542
1.53608,0.542149,0.101258,1.06463,-0.787115,0.999463,-0.256912,0.421539,-0.268186,0.571749
